sum_response_time,number_of_received_responses,number_of_sent_requests
5408543,382024,383270
5414339,382415,383662
5419095,382749,383998
5423746,383073,384323
5429233,383450,384702
5433942,383796,385049
5437457,384037,385293
5442832,384404,385661
5449008,384842,386100
5458145,385473,386732
5464189,385898,387158
5468279,386200,387462
5475428,386709,387972
5482284,387184,388448
5487633,387561,388826
5492761,387914,389181
5502748,388619,389886
5509496,389088,390356
5515919,389550,390819
5518904,389757,391028
5524167,390134,391407
5529398,390496,391770
5534809,390879,392155
5544812,391570,392846
5551618,392065,393342
5559912,392618,393895
5565486,393010,394289
5567369,393141,394422
5573001,393528,394811
5583000,394222,395505
5586679,394475,395760
5594492,395028,396313
5600276,395427,396714
5606983,395900,397188
5610954,396184,397474
5617747,396654,397945
5624424,397118,398410
5628545,397410,398704
5635535,397913,399208
5639307,398180,399477
5646119,398661,399959
5656118,399376,400674
5662957,399864,401163
5669958,400372,401672
5673538,400629,401931
5683551,401331,402633
5690294,401804,403107
5700311,402509,403812
5703966,402760,404065
5710724,403243,404549
5717028,403676,404983
5721417,403990,405299
5731408,404691,406000
5738348,405180,406490
5745241,405674,406985
5748845,405933,407246
5755713,406427,407740
5759454,406691,408007
5766712,407206,408522
5770688,407484,408802
5773790,407705,409025
5783759,408417,409738
5793766,409127,410448
5800553,409611,410933
5807408,410101,411424
5817415,410802,412125
5819619,410960,412285
5822093,411130,412458
5826379,411433,412762
5832931,411888,413219
5841435,412474,413805
5846255,412815,414148
5853582,413320,414654
5860373,413795,415130
5862836,413972,415309
5870988,414543,415881
5880987,415237,416575
5884721,415512,416852
5891592,415995,417336
5898416,416467,417809
5905232,416940,418283
5915222,417632,418975
5922176,418123,419467
5932168,418814,420158
5935921,419070,420416
5940804,419417,420764
5946489,419821,421170
5953260,420299,421649
5958271,420652,422003
5964107,421058,422411
5969473,421425,422779
5973217,421681,423037
5979634,422139,423496
5984422,422481,423840
5991222,422955,424315
5998922,423490,424851
6005748,423965,425327
6012699,424457,425819
6019751,424951,426314
6027430,425499,426863
6033198,425894,427260
6037022,426166,427533
6044348,426679,428047
6047388,426895,428266
6057392,427595,428966
6064156,428061,429433
6071105,428543,429916
6075630,428861,430235
6085077,429526,430901
6087605,429708,431085
6089884,429876,431255
6096064,430315,431696
6106057,431020,432401
6114498,431608,432989
6123020,432201,433583
6133023,432896,434278
6139819,433374,434757
6146636,433861,435245
6153434,434349,435734
6159328,434764,436150
6167161,435307,436694
6177175,436017,437404
6187163,436718,438105
6194135,437194,438582
6197810,437443,438833
6204715,437920,439311
6206608,438053,439446
6212118,438440,439835
6215683,438692,440089
6219356,438959,440358
6229365,439658,441057
6236121,440132,441532
6242919,440608,442009
6246804,440883,442285
6252899,441312,442716
6257463,441627,443033
6267467,442345,443751
6274349,442825,444231
6281142,443318,444726
6286837,443724,445133
6288504,443844,445256
6295279,444324,445737
6299188,444594,446009
6305928,445078,446494
6315930,445776,447192
6322722,446250,447667
6329675,446728,448146
6333400,446997,448417
6340319,447476,448897
6347386,447990,449411
6354905,448513,449935
6358589,448775,450199
6364481,449203,450629
6373568,449848,451274
6380194,450311,451738
6383545,450543,451972
6388850,450906,452337
6393678,451250,452682
6402483,451871,453304
6409407,452360,453794
6416374,452842,454277
6425824,453507,454942
6427021,453588,455026
6437031,454280,455718
6443835,454744,456183
6447978,455027,456467
6454412,455488,456930
6464405,456200,457642
6471167,456677,458120
6478087,457171,458615
6484897,457642,459087
6491788,458124,459570
6498599,458609,460056
6507206,459211,460658
6513877,459684,461132
6519259,460067,461517
6529240,460757,462207
6536193,461245,462696
6543018,461715,463167
6546658,461960,463414
6554262,462497,463951
6560536,462910,464366
6567115,463366,464823
6570982,463646,465105
6580987,464346,465805
6587979,464836,466296
6594826,465316,466777
6600357,465704,467166
6601345,465772,467237
6609525,466324,467790
6616502,466816,468283
6623294,467292,468760
6630129,467770,469239
6637044,468263,469733
6640680,468520,469992
6646319,468927,470400
6650656,469230,470705
6655046,469545,471021
6658754,469804,471282
6665382,470284,471764
6675392,470990,472470
6682168,471455,472936
6689163,471938,473420
6692914,472195,473679
6699694,472670,474155
6705230,473070,474556
6707626,473246,474734
6717373,473913,475402
6721265,474183,475674
6731275,474877,476368
6741275,475590,477081
6748162,476071,477563
6755178,476572,478065
6759268,476864,478358
6763673,477164,478660
6766385,477357,478856
6773276,477834,479333
6777655,478138,479639
6783980,478569,480072
6790897,479078,480582
6797710,479555,481060
6802472,479890,481396
6808381,480306,481814
6815361,480784,482293
6825350,481480,482989
6832346,481974,483484
6839167,482454,483965
6842929,482733,484246
6847395,483045,484559
6854310,483539,485054
6860601,483992,485509
6867587,484485,486003
6869058,484586,486106
6875295,485033,486555
6882139,485509,487032
6885688,485761,487286
6889786,486052,487579
6896625,486535,488063
6903560,487026,488555
6909076,487417,488947
6914179,487771,489303
6917910,488030,489564
6924824,488524,490059
6931598,488989,490525
6935973,489295,490832
6945306,489943,491481
6950486,490306,491845
6955959,490688,492228
6962602,491150,492692
6966033,491389,492933
6970309,491696,493242
6977282,492196,493743
6984234,492697,494245
6987791,492950,494500
6994755,493443,494994
7001506,493915,495467
7007321,494328,495881
7011945,494665,496220
7019013,495158,496713
7028826,495842,497398
7033140,496143,497700
7039718,496609,498168
7049736,497304,498863
7056689,497785,499345
7060809,498078,499639
7070468,498771,500333
7080460,499477,501039
7084067,499727,501291
7093787,500411,501975
7095733,500546,502112
7104701,501170,502737
7111624,501662,503230
7115413,501922,503491
7120635,502292,503863
7122650,502435,504009
7126855,502726,504301
7132344,503116,504693
7140091,503659,505237
7140858,503717,505297
7144499,503974,505557
7151478,504471,506055
7160168,505083,506667
7165056,505435,507021
7168928,505719,507307
7175715,506193,507782
7179655,506469,508060
7183344,506723,508316
7193344,507429,509022
7198990,507824,509418
7199355,507849,509446
7201667,508017,509617
7208628,508510,510111
7213992,508890,510492
7218155,509180,510784
7224689,509646,511251
7227411,509835,511442
7230438,510055,511665
7234766,510356,511967
7244184,511012,512624
7247999,511277,512891
7257982,511976,513590
7264927,512466,514081
7271740,512948,514564
7278539,513427,515044
7285489,513920,515538
7291124,514319,515938
7295883,514656,516277
7301349,515043,516665
7304305,515260,516884
7308617,515562,517188
7314032,515943,517571
7317550,516192,517822
7324488,516680,518311
7331256,517160,518792
7338141,517647,519280
7345138,518142,519775
7349398,518444,520079
7355723,518896,520533
7360848,519260,520898
