server_0,server_1,server_2
42878192,46599763,38841031
42954378,46675950,38917218
43028285,46749857,38991125
43102455,46824027,39065295
43174357,46895929,39137197
43244218,46965790,39207058
43314972,47036544,39277811
43386905,47108476,39349744
43462006,47183577,39424845
43528963,47250535,39491802
43599519,47321090,39562358
43672169,47393740,39635008
43747109,47468681,39709948
43821348,47542920,39784187
43895135,47616707,39857974
43967257,47688829,39930097
44037776,47759347,40000615
44108886,47830458,40071725
44178732,47900304,40141571
44249773,47971344,40212612
44318558,48040130,40281397
44392657,48114228,40355496
44464739,48186311,40427579
44539278,48260850,40502118
44612107,48333679,40574947
44684585,48406156,40647424
44753648,48475220,40716487
44825656,48547227,40788495
44895754,48617326,40858594
44953793,48675365,40916632
45028690,48750262,40991529
45086492,48808064,41049331
45159831,48881402,41122670
45230117,48951689,41192957
45304279,49025851,41267119
45375437,49097009,41338276
45445907,49167479,41408747
45513543,49235115,41476383
45586766,49308337,41549605
45658855,49380427,41621694
45726637,49448209,41689476
45793393,49514964,41756232
45867864,49589436,41830703
45938945,49660517,41901784
46013205,49734776,41976044
46087994,49809566,42050834
46162321,49883892,42125160
46234282,49955853,42197121
46302486,50024057,42265325
46375605,50097177,42338444
46444859,50166430,42407698
46517749,50239321,42480589
46585428,50307000,42548267
46659655,50381226,42622494
46725125,50446697,42687964
46798464,50520036,42761304
46868977,50590548,42831816
46941627,50663199,42904466
47013891,50735463,42976731
47088139,50809711,43050979
47159167,50880738,43122006
47232248,50953820,43195087
47302872,51024444,43265711
47376112,51097683,43338951
47443313,51164884,43406152
47517585,51239157,43480425
47589197,51310769,43552036
47660018,51381590,43622857
47732447,51454018,43695286
47802662,51524234,43765501
47874645,51596217,43837484
47945530,51667102,43908369
48015525,51737096,43978364
48082213,51803785,44045052
48155066,51876638,44117905
48225177,51946749,44188017
48294550,52016122,44257390
48368280,52089852,44331120
48434510,52156082,44397349
48496916,52218487,44459755
48567929,52289501,44530768
48640457,52362029,44603297
48712118,52433689,44674957
48779729,52501300,44742568
48851107,52572679,44813946
48923846,52645418,44886686
48995978,52717550,44958818
49068163,52789735,45031003
49141357,52862929,45104197
49213078,52934650,45175917
49286284,53007855,45249123
49360177,53081749,45323017
49431858,53153429,45394697
49503722,53225294,45466562
49571018,53292590,45533858
49642149,53363721,45604989
49710006,53431578,45672846
49782783,53504355,45745623
49852007,53573579,45814846
49920758,53642330,45883598
49989116,53710688,45951955
50056978,53778550,46019818
50128990,53850562,46091829
50200825,53922396,46163664
50264240,53985812,46227079
50332719,54054290,46295558
50405862,54127434,46368702
50478052,54199623,46440891
50553576,54275148,46516415
50625126,54346698,46587966
50698779,54420351,46661618
50771913,54493484,46734752
50844537,54566108,46807376
50914300,54635872,46877139
50982119,54703690,46944958
51053812,54775384,47016651
51122371,54843942,47085210
51191138,54912710,47153977
51257807,54979379,47220646
51329567,55051139,47292407
51398257,55119828,47361096
51470278,55191849,47433117
51542176,55263748,47505016
51613220,55334792,47576059
51681008,55402580,47643848
51750463,55472034,47713302
51823034,55544605,47785873
51895542,55617114,47858381
51964481,55686053,47927321
52038641,55760213,48001480
52110237,55831809,48073077
52179193,55900765,48142032
52247106,55968677,48209945
52322776,56044348,48285616
52390406,56111977,48353245
52464418,56185989,48427257
52537685,56259257,48500525
52609259,56330831,48572098
52680405,56401977,48643244
52747497,56469068,48710336
52820055,56541626,48782894
52893045,56614616,48855884
52962297,56683869,48925137
53032193,56753764,48995032
53100078,56821650,49062917
53170453,56892025,49133293
53242191,56963763,49205030
53309348,57030920,49272188
53376899,57098471,49339739
53446240,57167811,49409079
53513961,57235533,49476800
53580994,57302566,49543833
53654233,57375805,49617073
53728419,57449990,49691258
53798344,57519916,49761184
53871731,57593303,49834571
53941050,57662621,49903889
54010734,57732305,49973573
54081274,57802845,50044113
54153649,57875221,50116489
54222674,57944246,50185513
54297195,58018767,50260034
54371545,58093117,50334385
54442131,58163703,50404971
54512959,58234531,50475799
54581888,58303460,50544728
54655544,58377116,50618384
54728120,58449692,50690960
54795790,58517362,50758630
54858685,58580256,50821524
54929675,58651247,50892515
55000412,58721984,50963252
55069668,58791240,51032508
55138703,58860275,51101542
55207515,58929086,51170354
55279755,59001327,51242595
55350675,59072247,51313515
55426484,59148055,51389323
55498726,59220298,51461566
55570648,59292220,51533487
55641661,59363233,51604500
55716931,59438503,51679770
55788273,59509845,51751112
55858614,59580186,51821453
55930522,59652094,51893362
56003745,59725317,51966585
56075668,59797240,52038508
56143707,59865278,52106546
56217509,59939081,52180349
56289271,60010842,52252110
56363062,60084633,52325901
56433544,60155115,52396383
56504937,60226508,52467776
56571595,60293166,52534434
56638801,60360373,52601641
56706675,60428246,52669514
56777309,60498881,52740148
56849419,60570991,52812259
56923595,60645167,52886435
56997689,60719261,52960529
57068319,60789891,53031159
57142488,60864060,53105328
57217079,60938650,53179918
57289940,61011512,53252780
57360407,61081978,53323246
57433253,61154825,53396093
57506272,61227843,53469111
57580903,61302475,53543742
57653043,61374614,53615882
57722656,61444227,53685495
57792629,61514201,53755468
57864190,61585762,53827030
57935529,61657101,53898369
58005473,61727044,53968312
58076787,61798359,54039626
58146704,61868276,54109543
58211325,61932896,54174164
58280145,62001717,54242984
58350616,62072188,54313455
58423710,62145282,54386549
58491465,62213037,54454304
58565882,62287454,54528722
58636024,62357595,54598863
58706310,62427881,54669149
58779767,62501339,54742607
58851066,62572638,54813906
58924136,62645707,54886975
58998487,62720059,54961326
59070039,62791611,55032879
59138677,62860249,55101517
59211057,62932629,55173897
59278843,63000415,55241683
59348573,63070144,55311412
59418829,63140401,55381669
59492610,63214181,55455449
59558729,63280301,55521569
59633017,63354589,55595857
59704842,63426413,55667681
59775323,63496895,55738162
59842866,63564438,55805705
59914666,63636238,55877505
59986518,63708089,55949357
60060612,63782183,56023451
60133534,63855106,56096374
60201110,63922682,56163949
60271100,63992671,56233939
60345785,64067357,56308624
60422801,64144372,56385640
60498619,64220191,56461459
60569757,64291329,56532597
60642956,64364528,56605796
60717717,64439288,56680556
